0,3.4,2001-01-01
0,3.4,2001-01-02
0,2.7,2001-01-03
0,3.4,2001-01-04
0,3.4,2001-01-05
0,3.1,2001-01-06
21.3,4.1,2001-01-07
7.2,4.5,2001-01-08
5.8,6,2001-01-09
0,6.4,2001-01-10
0,9.5,2001-01-11
0,4.3,2001-01-12
1.5,7.4,2001-01-13
0,4.7,2001-01-14
0,3.6,2001-01-15
0,5.6,2001-01-16
0.1,4.8,2001-01-17
0.1,6,2001-01-18
0.1,4.9,2001-01-19
16.3,5.3,2001-01-20
1.6,4.5,2001-01-21
0.9,5.3,2001-01-22
0.3,5,2001-01-23
0.5,5.8,2001-01-24
0.5,5.4,2001-01-25
0.3,5.9,2001-01-26
3.5,7.2,2001-01-27
0.5,6.4,2001-01-28
0.5,7.4,2001-01-29
1.1,7.4,2001-01-30
2.3,6.6,2001-01-31
0.3,6.2,2001-02-01
0,7.1,2001-02-02
0,5.8,2001-02-03
0,7.7,2001-02-04
0,7.3,2001-02-05
0,6.9,2001-02-06
0,7.9,2001-02-07
0,7.5,2001-02-08
0,7,2001-02-09
0,8.1,2001-02-10
0,7.7,2001-02-11
0,7.7,2001-02-12
0,5.7,2001-02-13
0,4.7,2001-02-14
2.4,5.2,2001-02-15
0.6,5.3,2001-02-16
1.1,5.3,2001-02-17
0.1,7.9,2001-02-18
0,8,2001-02-19
0,4.8,2001-02-20
3.7,4.8,2001-02-21
0,10.3,2001-02-22
28.2,9.8,2001-02-23
11.1,42.6,2001-02-24
0,57.9,2001-02-25
0,45.4,2001-02-26
24.7,44.3,2001-02-27
18.3,61.3,2001-02-28
2.1,176.1,2001-03-01
0,77.2,2001-03-02
5.1,65.7,2001-03-03
3,25.8,2001-03-04
3.3,40.4,2001-03-05
0.1,20.2,2001-03-06
0.1,38.8,2001-03-07
0,34.2,2001-03-08
0,34.4,2001-03-09
0,21.5,2001-03-10
0,19.5,2001-03-11
0,19.5,2001-03-12
0,17.5,2001-03-13
0,16.5,2001-03-14
0,16.5,2001-03-15
0,17.5,2001-03-16
1,15.5,2001-03-17
0,11.5,2001-03-18
0,14.5,2001-03-19
0,14.5,2001-03-20
0,16.4,2001-03-21
0.1,16.4,2001-03-22
0,15.4,2001-03-23
0,13.5,2001-03-24
0,13.5,2001-03-25
0.1,12.5,2001-03-26
0,11.5,2001-03-27
2.7,13.5,2001-03-28
0.3,14.4,2001-03-29
2.7,19.2,2001-03-30
0,14.4,2001-03-31
0,12.5,2001-04-01
0.1,12.5,2001-04-02
0,12.5,2001-04-03
0,12.5,2001-04-04
0,13.4,2001-04-05
0,13.4,2001-04-06
0,14.4,2001-04-07
0,14.4,2001-04-08
0,14.3,2001-04-09
0,15.3,2001-04-10
6.1,16.2,2001-04-11
0.4,12,2001-04-12
0,15.6,2001-04-13
3.3,14.7,2001-04-14
0,11.2,2001-04-15
0,10.9,2001-04-16
0,9.5,2001-04-17
0,9,2001-04-18
0,10.7,2001-04-19
0,7.3,2001-04-20
0,8.8,2001-04-21
0,6.4,2001-04-22
0,6.8,2001-04-23
0,7.4,2001-04-24
0,5.1,2001-04-25
0.1,5.5,2001-04-26
0,5,2001-04-27
1.4,6.7,2001-04-28
2.4,7.5,2001-04-29
12.8,6.5,2001-04-30
0.7,7.4,2001-05-01
1.3,7.4,2001-05-02
0,7.4,2001-05-03
0,7.4,2001-05-04
0,7.4,2001-05-05
0,7.4,2001-05-06
13.9,7.4,2001-05-07
5.3,5.3,2001-05-08
1.6,7.1,2001-05-09
0,7.1,2001-05-10
0,6.1,2001-05-11
0,5.9,2001-05-12
0,5.8,2001-05-13
0,4.6,2001-05-14
0.7,4.3,2001-05-15
0,4,2001-05-16
0,3.8,2001-05-17
0,3.5,2001-05-18
0,3.2,2001-05-19
0,2.9,2001-05-20
1.1,2.6,2001-05-21
5.2,2.4,2001-05-22
1.3,3.1,2001-05-23
0,2,2001-05-24
0,2.7,2001-05-25
1,2.6,2001-05-26
0,1.4,2001-05-27
0,1.2,2001-05-28
0,1.9,2001-05-29
2.3,1.8,2001-05-30
0.4,6.6,2001-05-31
0,3.1,2001-06-01
0,2.2,2001-06-02
0,2,2001-06-03
0,1.9,2001-06-04
0.1,0.8,2001-06-05
0,1.2,2001-06-06
0,1.1,2001-06-07
0,1.1,2001-06-08
0,1.1,2001-06-09
0,1.1,2001-06-10
0,1,2001-06-11
0,1,2001-06-12
8.4,1,2001-06-13
0,1.9,2001-06-14
0,1,2001-06-15
0,1,2001-06-16
0,1,2001-06-17
92,1,2001-06-18
15.6,123.8,2001-06-19
6.1,39,2001-06-20
4.3,25.3,2001-06-21
0.1,15.9,2001-06-22
0.9,19.6,2001-06-23
87.5,146.6,2001-06-24
13.7,356.5,2001-06-25
0.1,92.8,2001-06-26
0.1,48.4,2001-06-27
0,26.7,2001-06-28
11.3,25.4,2001-06-29
11.6,45.2,2001-06-30
24.9,84.5,2001-07-01
2.8,76.8,2001-07-02
0,40.3,2001-07-03
0,25,2001-07-04
36.7,60.4,2001-07-05
5.8,107.9,2001-07-06
0.5,71.3,2001-07-07
0,55.2,2001-07-08
0,10,2001-07-09
0.5,24.2,2001-07-10
42.7,44.2,2001-07-11
53.5,450,2001-07-12
0,174.3,2001-07-13
13.5,96.1,2001-07-14
19.2,101.3,2001-07-15
1.5,105.1,2001-07-16
0.4,58.7,2001-07-17
0,47.9,2001-07-18
0.4,35,2001-07-19
2.7,36.9,2001-07-20
0.3,35.1,2001-07-21
0,25.7,2001-07-22
0.1,25.7,2001-07-23
0,20.1,2001-07-24
9.4,10.8,2001-07-25
0.1,20.2,2001-07-26
0,24,2001-07-27
0,20.2,2001-07-28
2.3,20.2,2001-07-29
17.9,22.1,2001-07-30
5.7,31.5,2001-07-31
1.5,24,2001-08-01
0.3,20.2,2001-08-02
0.5,24,2001-08-03
19.4,20.2,2001-08-04
10,31.6,2001-08-05
2.8,25.9,2001-08-06
7.8,24,2001-08-07
5.4,35.5,2001-08-08
0,26,2001-08-09
0,22.2,2001-08-10
0.2,20.3,2001-08-11
5.3,20.3,2001-08-12
1.5,20.3,2001-08-13
7.3,20.3,2001-08-14
1.5,20.3,2001-08-15
1.1,20.3,2001-08-16
0.1,18.4,2001-08-17
0,16.5,2001-08-18
0,14.6,2001-08-19
0,16.5,2001-08-20
0,12.7,2001-08-21
0,12.7,2001-08-22
0,14.6,2001-08-23
0,12.7,2001-08-24
0,9,2001-08-25
0,12.8,2001-08-26
0,9,2001-08-27
0,12.8,2001-08-28
0,10.9,2001-08-29
0,12.8,2001-08-30
0,12.8,2001-08-31
0,10.1,2001-09-01
0,8.3,2001-09-02
0,6.5,2001-09-03
0,10.2,2001-09-04
0,10.3,2001-09-05
0,12.1,2001-09-06
0,12.2,2001-09-07
0,12.2,2001-09-08
20.8,10.4,2001-09-09
2.1,15.8,2001-09-10
0,10.4,2001-09-11
0,15.9,2001-09-12
0.1,10.5,2001-09-13
39.7,28.5,2001-09-14
0,21.3,2001-09-15
0,8.7,2001-09-16
0,6.9,2001-09-17
0.2,12.3,2001-09-18
0,12.4,2001-09-19
0,8.4,2001-09-20
0,12.4,2001-09-21
0,10.6,2001-09-22
0,12.4,2001-09-23
0,10.7,2001-09-24
0,12.5,2001-09-25
0,7.2,2001-09-26
0,7.3,2001-09-27
0,3.9,2001-09-28
0,5.7,2001-09-29
20.9,7.5,2001-09-30
6,9.2,2001-10-01
0.1,5.9,2001-10-02
0,5.9,2001-10-03
2.3,7.7,2001-10-04
0,6,2001-10-05
0,12.9,2001-10-06
0,11.2,2001-10-07
0.1,14.6,2001-10-08
33,19.6,2001-10-09
4.6,24.7,2001-10-10
2,21.3,2001-10-11
0,16.3,2001-10-12
0,16.3,2001-10-13
0,16.3,2001-10-14
0,14.6,2001-10-15
0,14.6,2001-10-16
0,14.6,2001-10-17
0,13,2001-10-18
0,13,2001-10-19
0,13,2001-10-20
1.7,14.7,2001-10-21
7.4,16.4,2001-10-22
0,14.7,2001-10-23
0,14.7,2001-10-24
0,11.5,2001-10-25
0,16.4,2001-10-26
17.2,18,2001-10-27
19.9,31.1,2001-10-28
1.2,21.3,2001-10-29
0,22.9,2001-10-30
0,21.3,2001-10-31
0,16.4,2001-11-01
0,14.8,2001-11-02
0,14.8,2001-11-03
0,14.8,2001-11-04
4.5,14.8,2001-11-05
0,14.8,2001-11-06
0,18.1,2001-11-07
0,16.4,2001-11-08
0,16.5,2001-11-09
0,14.9,2001-11-10
0,16.5,2001-11-11
0,13.3,2001-11-12
0,16.5,2001-11-13
0,14.9,2001-11-14
0,14.9,2001-11-15
0,14.9,2001-11-16
0,13.3,2001-11-17
0,14.9,2001-11-18
0,15,2001-11-19
0,15,2001-11-20
0,15,2001-11-21
0,13.4,2001-11-22
0,11.9,2001-11-23
0,10.3,2001-11-24
0,15.1,2001-11-25
0,13.5,2001-11-26
0,10.4,2001-11-27
0.1,12,2001-11-28
13.1,15.1,2001-11-29
0.2,16.7,2001-11-30
0,15.1,2001-12-01
0,15.2,2001-12-02
5.8,18.2,2001-12-03
13.9,13.6,2001-12-04
2.6,16.7,2001-12-05
0.1,13.7,2001-12-06
0.1,15.2,2001-12-07
0.3,10.7,2001-12-08
0.3,12.2,2001-12-09
0.3,13.8,2001-12-10
0,12.3,2001-12-11
3.8,16.8,2001-12-12
1.3,12.3,2001-12-13
0,13.8,2001-12-14
0,18.3,2001-12-15
0,16.8,2001-12-16
0,18.3,2001-12-17
0,16.8,2001-12-18
0,16.8,2001-12-19
0.1,15.4,2001-12-20
0.1,16.9,2001-12-21
0.3,15.4,2001-12-22
0,15.4,2001-12-23
0,15.4,2001-12-24
0,16.9,2001-12-25
0,15.4,2001-12-26
0,15.5,2001-12-27
0,14,2001-12-28
1.3,15.5,2001-12-29
1.1,16.9,2001-12-30
2.1,14,2001-12-31
4.4,15.5,2002-01-01
0,15.5,2002-01-02
0,15.5,2002-01-03
0,15.5,2002-01-04
0,17,2002-01-05
0,17,2002-01-06
6.2,17,2002-01-07
0.1,19.9,2002-01-08
0.4,17,2002-01-09
0.4,18.4,2002-01-10
0,17,2002-01-11
0,15.6,2002-01-12
0,17,2002-01-13
0.1,17,2002-01-14
30.3,22.7,2002-01-15
23.5,84.4,2002-01-16
2.3,76.9,2002-01-17
0,49.5,2002-01-18
0,36.2,2002-01-19
3.6,30.3,2002-01-20
2.5,30.3,2002-01-21
0.7,25.8,2002-01-22
0,24.3,2002-01-23
0.3,21.3,2002-01-24
0.1,22.8,2002-01-25
5.7,21.3,2002-01-26
2.1,21.3,2002-01-27
0,21.3,2002-01-28
0,18.3,2002-01-29
0,21.3,2002-01-30
0,18.3,2002-01-31
0.1,16.8,2002-02-01
0.1,18.3,2002-02-02
0,16.8,2002-02-03
0,16.8,2002-02-04
0,16.8,2002-02-05
0.2,16.8,2002-02-06
0.1,16.8,2002-02-07
0.6,16.8,2002-02-08
0,16.8,2002-02-09
1.2,18.3,2002-02-10
0.4,16.8,2002-02-11
0,16.8,2002-02-12
0,16.9,2002-02-13
0,16.9,2002-02-14
0,15.4,2002-02-15
0,16.9,2002-02-16
0,15.4,2002-02-17
0,16.9,2002-02-18
0,16.9,2002-02-19
0,16.9,2002-02-20
6.3,19.8,2002-02-21
0.1,18.4,2002-02-22
0,18.4,2002-02-23
0,15.5,2002-02-24
0,15.5,2002-02-25
0,16.9,2002-02-26
1,15.5,2002-02-27
0,15.5,2002-02-28
0,15.5,2002-03-01
0,17,2002-03-02
0,14.8,2002-03-03
0,16.3,2002-03-04
11.2,17.7,2002-03-05
2.9,19.2,2002-03-06
0,19.1,2002-03-07
0,19.1,2002-03-08
0,17.6,2002-03-09
3.5,16.2,2002-03-10
0,19.1,2002-03-11
0,17.6,2002-03-12
0,20.5,2002-03-13
11.2,19.1,2002-03-14
0.2,20.5,2002-03-15
0,21.9,2002-03-16
0,20.5,2002-03-17
0,20.5,2002-03-18
0,20.5,2002-03-19
0,20.5,2002-03-20
16.6,23.4,2002-03-21
7.2,30.5,2002-03-22
0,30.7,2002-03-23
0,27.8,2002-03-24
0,24.9,2002-03-25
0,23.5,2002-03-26
0,20.6,2002-03-27
0,22,2002-03-28
5.9,20.6,2002-03-29
1.2,20.6,2002-03-30
0.2,20.6,2002-03-31
0,19.2,2002-04-01
0,17.7,2002-04-02
0,17.7,2002-04-03
0,17.7,2002-04-04
0.7,16.3,2002-04-05
27.4,23.5,2002-04-06
0,39.4,2002-04-07
0,30.8,2002-04-08
0,26.4,2002-04-09
0,23.5,2002-04-10
0.1,22.2,2002-04-11
1.7,20.7,2002-04-12
0.1,20.7,2002-04-13
0,19.2,2002-04-14
2.7,20.7,2002-04-15
111.3,396.8,2002-04-16
0,140.2,2002-04-17
0,64.3,2002-04-18
0,44,2002-04-19
0,33.8,2002-04-20
0,30.4,2002-04-21
0,26.9,2002-04-22
0.7,23.4,2002-04-23
